Reaction ID,Reaction: Links to Reaxys,Data Count,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details),References,Links to Reaxys
49105314,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=49105314&database=RX&origin=ReaxysOutput&ln=,(1 of 518),1,86,full reaction; has preparation,perillol,limonene.,311050,CC(=C)C1CCC(CO)=CC1>>CC(=C)C1CCC(C)=CC1,Preparation,19-22; 58; 66,Example 58,"A glass reaction vessel was charged with 47.3 mg of Catalyst D, 123.4 mg (1.0 mmol) of benzyl methyl ether, 15.5 mg (0.08 mmol) of TsOH.H2O, 30 mL of dehydrated methanol and , And a magnetic stirrer. Then, argon gas was introduced into the sealed reaction system and irradiated with ultraviolet light for 7.5 hours while stirring the reaction system (rotational speed of the magnetic stirrer: about 600 rpm) at 25  C. Then, by GC-MS analysis, a yield of toluene of 95% was obtained (see Table 10). Table 10 also shows the conversion of benzyl methyl ether.",1,,,,,18,25,,,Inert atmosphere; Sealed tube; UV-irradiation,,,,,,Paragraph 0084-0087; 0097; 0129; 0137; 0138,,limonene.,73 percent,73,,,methanol; toluene-4-sulfonic acid,,,"Patent; NAGOYA UNIVERSITY; NOYORI, RYOJI; SAITO, SUSUMU; SAITO SUSUMU, HIROSHI; CANER CASADEMONT, JOAQUIM; LIU, ZIJUN; (37 pag.)JP2015/59098; (2015); A;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=75122854&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
38196874,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=38196874&database=RX&origin=ReaxysOutput&ln=,(2 of 518),1,85,full reaction; has preparation,(R)-Carvone,limonene.,229561,CC(=C)[C@@H]1CC=C(C)C(=O)C1>>CC(=C)C1CCC(C)=CC1,Preparation,18,Catalytic Deoxygenation of Carvone,"Example 18 Catalytic Deoxygenation of Carvone A 100 mL Teflon-sealing glass reactor equipped with a Teflon-covered magnetic stir bar was charged with 8 mg (0.007 mmol) [NiNPtBu3]4, 100 mg (0.67 mmol) R-carvone, 73 mg (0.67 mmol) PhSiH3 and 1.5 mL tetrahydrofuran (THF). The reaction mixture was allowed to stir at a speed of 1200 rpm for 16 hours at 60 C. temperature. The reaction mixture was then filtered through a plug of Florisil and the THF-fraction was subjected to GC-MS analysis. The substrate was completely converted into a mixture of products identified to be the following: and the remaining fraction is a mixture of C=0 hydrosilylation products.",1,,,,,16,60,,,Sealed tube,,,,,,Paragraph 0190,,limonene.,11 percent,11,,,[NiNPtBu3]4; phenylsilane,,tetrahydrofuran,"Patent; GOVERNORS OF THE UNIVERSITY OF ALBERTA; Bunquin, Jeffrey Camacho; Stryker, Jeffrey Mark; US2014/179954; (2014); A1;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=63764734&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
9304423,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=9304423&database=RX&origin=ReaxysOutput&ln=,(3 of 518),7,84,full reaction; has preparation,Pinene,camphene; limonene.,116679; 319348,CC1=CCC2CC1C2(C)C>>CC1(C)C2CCC(C2)C1=C.CC(=C)C1CCC(C)=CC1,Chemical behaviour,,,,1,,,,,9,60,,,,,Product distribution,Further Variations:; sulphur loading dependence,,,,,,,,,,,sulphated zirconia,,"Article; Ecormier, Muriel A.; Wilson, Karen; Lee, Adam F.; Journal of Catalysis; vol. 215; 1; (2003); p. 57 - 65;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=6400277&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
9304423,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=9304423&database=RX&origin=ReaxysOutput&ln=,(3 of 518),7,84,full reaction; has preparation,Pinene,camphene; limonene.,116679; 319348,CC1=CCC2CC1C2(C)C>>CC1(C)C2CCC(C2)C1=C.CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,5,100,760.051,,,,,,,Experimental part,,,,,,,,,,,"Article; Szuecs-Balazs, Jozsef-Zsolt; Coros, Maria; Woiczechowski-Pop, Adrian; Blanita, Gabriela; Vlassa, Mircea; Central European Journal of Chemistry; vol. 10; 4; (2012); p. 1208 - 1217;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=20205993&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
9304423,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=9304423&database=RX&origin=ReaxysOutput&ln=,(3 of 518),7,84,full reaction; has preparation,Pinene,camphene; limonene.,116679; 319348,CC1=CCC2CC1C2(C)C>>CC1(C)C2CCC(C2)C1=C.CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,699.84,,,Inert atmosphere,,,Reagent/catalyst,,Experimental part,,,,,,,,,,,"Article; Kitano, Tomoyuki; Hayashi, Tomohiro; Uesaka, Toshio; Shishido, Tetsuya; Teramura, Kentaro; Tanaka, Tsunehiro; ChemCatChem; vol. 6; 7; (2014); p. 2011 - 2020;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=63982379&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
9304423,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=9304423&database=RX&origin=ReaxysOutput&ln=,(3 of 518),7,84,full reaction; has preparation,Pinene,camphene; limonene.,116679; 319348,CC1=CCC2CC1C2(C)C>>CC1(C)C2CCC(C2)C1=C.CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,0.5,70,,,,,,Reagent/catalyst,,Scheme or table,,,,,,,,ZSM-5 zeolite,,,"Article; Liu, Lijia; Wang, Hongbin; Wang, Runwei; Zeng, Shangjing; Ni, Ling; Zhang, Daliang; Zhu, Liangkui; Zou, Houbing; Qiu, Shilun; Zhang, Zongtao; RSC Advances; vol. 4; 74; (2014); p. 39297 - 39300;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=64134842&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
9304423,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=9304423&database=RX&origin=ReaxysOutput&ln=,(3 of 518),7,84,full reaction; has preparation,Pinene,camphene; limonene.,116679; 319348,CC1=CCC2CC1C2(C)C>>CC1(C)C2CCC(C2)C1=C.CC(=C)C1CCC(C)=CC1,Chemical behaviour,,2.3. Catalytic testing,"testingThe conversion of -pinene was carried out at atmospheric pres-sure in a two-necked flask immersed in bath oil. The reactor wasequipped with a reflux condenser, a stirrer and a temperature con-troller. Before each catalytic test a catalyst was activated at 80C.Typically, a 100 mg portion of catalyst and 5 ml of -pinene werecharged into the flask, and the catalytic tests were carried out at75-150C for 3 h under stirring. After selected times reaction prod-ucts were sampled, filtered off and analyzed with a HP 6890 gaschromatograph equipped with a thermal conductivity detector anda home-made column (8% bentonite-34, 6% didecyl phthalate and1% silicon oil A on Chromosorb W)",1,,,,,3,90,760.051,,,,Kinetics,Reagent/catalyst; Temperature,,Experimental part,,,,,,,,dealuminated natural clinoptilolite type zeolite,,,"Article; Dziedzicka, Anna; Sulikowski, Bogdan; Ruggiero-Miko?ajczyk, Ma?gorzata; Catalysis Today; vol. 259; (2016); p. 50 - 58;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=67361894&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
9304423,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=9304423&database=RX&origin=ReaxysOutput&ln=,(3 of 518),7,84,full reaction; has preparation,Pinene,camphene; limonene.,116679; 319348,CC1=CCC2CC1C2(C)C>>CC1(C)C2CCC(C2)C1=C.CC(=C)C1CCC(C)=CC1,Chemical behaviour,,,,1,,,,,12,120,,,Sealed tube,,Catalytic behavior,Time; Reagent/catalyst,,Experimental part,supporting information,,,,,,,6Zr(4+)*5O(2-)*3HO(1-)*2C9H3O6(3-)*2.5H2O*2.5O4S(2-),,toluene,"Article; Jiang, Juncong; Gandara, Felipe; Zhang, Yue-Biao; Na, Kyungsu; Yaghi, Omar M.; Klemperer, Walter G.; Journal of the American Chemical Society; vol. 136; 37; (2014); p. 12844 - 12847;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=67771146&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
9304423,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=9304423&database=RX&origin=ReaxysOutput&ln=,(3 of 518),7,84,full reaction; has preparation,Pinene,camphene; limonene.,116679; 319348,CC1=CCC2CC1C2(C)C>>CC1(C)C2CCC(C2)C1=C.CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,2,120,,,Sealed tube; Glovebox,,,Reagent/catalyst,,Experimental part,supporting information,,,,,,,"sulfonated polymerized 4,4?-divinyl-1,1?-biphenyl",,,"Article; Sun, Qi; Hu, Kewei; Leng, Kunyue; Yi, Xianfeng; Aguila, Briana; Sun, Yinyong; Zheng, Anmin; Meng, Xiangju; Ma, Shengqian; Xiao, Feng-Shou; Journal of Materials Chemistry A; vol. 6; 38; (2018); p. 18712 - 18719;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=75102211&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
45110596,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=45110596&database=RX&origin=ReaxysOutput&ln=,(4 of 518),1,83,full reaction; has preparation,terpin,limonene.,115250,CC(C)(O)C1CCC(C)(O)CC1>>CC(=C)C1CCC(C)=CC1,Preparation,3,Example 3:The preparation of limonene by this 3-eneene method comprises the steps of:,"A mixture of 3-ene,35% by mass of sulfuric acid aqueous solution,Mixed in a 1: 2 volume ratio,Then add the mixture weight 0.15% of the emulsifier,Heated to 40  C,After stirring for 16 hours,The reaction solution was sieved,Remove the oil layer,The resulting aqueous solution containing suspended and precipitated solid matter,Continue to react,The temperature was maintained at 10  C,After stirring for 20 hours,The reaction solution was sieved,Remove the water layer,The resulting oil layer is then distilled,That is, limonene,among them,The yield of terpene diol is more than 80%The yield of limonene is more than 20%.",1,,,,,20,10,,,,,,Temperature,,,Paragraph 0017; 0018; 0019; 0020; 0021; 0022,,,,,,,sulfuric acid,,water,"Patent; Wuzhou University; Yang, Shaoping; Liu, Juanjuan; Xie, Wei; Hu, Yiming; Liang, Lijun; Chen, Xiaoyun; (4 pag.)CN106542950; (2017); A;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=71069495&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
