Reaction ID,Reaction: Links to Reaxys,Data Count,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details),References,Links to Reaxys
4480561,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=4480561&database=RX&origin=ReaxysOutput&ln=,(1 of 3),1,76,full reaction; has preparation,diisopropyl zinc; pyrimidine-5-carbaldehyde,(R)-2-Methyl-1-pyrimidin-5-yl-propan-1-ol; (S)-2-methyl-1-(5-pyrimidyl)-1-propanol,217365; 217365,CC(C)[Zn]C(C)C.O=CC1=CN=CN=C1.O=CC1=CN=CN=C1>>CC(C)[C@@H](O)C1=CN=CN=C1.CC(C)[C@H](O)C1=CN=CN=C1,Preparation,,,,1,,,,,40,0,,,,,,,,,,Yield given. Yields of byproduct given. Title compound not separated from byproducts,,,,,,(S)-2-methyl-1-(5-pyrimidyl)-1-propanol,,toluene,"Article; Shibata, Takanori; Morioka, Hiroshi; Hayase, Tadakatsu; Choji, Kaori; Soai, Kenso; Journal of the American Chemical Society; vol. 118; 2; (1996); p. 471 - 472;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=6014533&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
5327685,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=5327685&database=RX&origin=ReaxysOutput&ln=,(2 of 3),1,63,full reaction; has preparation,acetic anhydride; (S)-2-methyl-1-(5-pyrimidyl)-1-propanol,Acetic acid (S)-2-methyl-1-pyrimidin-5-yl-propyl ester,260781,CC(=O)OC(C)=O.CC(C)[C@H](O)C1=CN=CN=C1>>CC(C)[C@H](OC(C)=O)C1=CN=CN=C1,Preparation,,,,1,,,,,,0 - 20,,,,Acetylation,,,,,,,,,,,,,,pyridine,"Article; Tanji, Shigehisa; Kodaka, Yasutaka; Shibata, Takanori; Soai, Kenso; Heterocycles; vol. 52; 1; (2000); p. 151 - 158;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=6219411&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
8498563,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=8498563&database=RX&origin=ReaxysOutput&ln=,(3 of 3),1,12,half reaction,diisopropyl zinc; pyrimidine-5-carbaldehyde; (S)-2-methyl-1-(5-pyrimidyl)-1-propanol,,,CC(C)[Zn]C(C)C.O=CC1=CN=CN=C1.CC(C)[C@H](O)C1=CN=CN=C1>>,Chemical behaviour,,,,1,,,,,66,0,,,other substituted pyrimidine-5-carbaldehyde; automultiplication,,,,,,,,,,,,,,,toluene,"Article; Shibata, Takanori; Morioka, Hiroshi; Hayase, Tadakatsu; Choji, Kaori; Soai, Kenso; Journal of the American Chemical Society; vol. 118; 2; (1996); p. 471 - 472;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=6014533&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
1554712,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=1554712&database=RX&origin=ReaxysOutput&ln=,(1 of 327),10,96,full reaction; has preparation,5-bromopyrimidine; formic acid ethyl ester,pyrimidine-5-carbaldehyde,46949,BrC1=CN=CN=C1.CCOC=O>>O=CC1=CN=CN=C1,Preparation,,,,1,,,2,,0.333333; 0.333333,-100; -100,,,,,,,,,,,pyrimidine-5-carbaldehyde,52 percent,52,,5-bromopyrimidine; formic acid ethyl ester,n-butyllithium,,tetrahydrofuran; hexane; tetrahydrofuran; hexane,"Article; Coleman, Paul J; Brashear, Karen M; Askew, Ben C; Hutchinson, John H; McVean, Carol A; Duong; Feuston, Bradley P; Fernandez-Metzler, Carmen; Gentile, Michael A; Hartman, George D; Kimmel, Donald B; Leu, Chih-Tai; Lipfert, Lorraine; Merkle, Kara; Pennypacker, Brenda; Prueksaritanont, Thomayant; Rodan, Gideon A; Wesolowski, Gregg A; Rodan, Sevgi B; Duggan, Mark E; Journal of medicinal chemistry; vol. 47; 20; (2004); p. 4829 - 4837;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=6460747&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
1554712,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=1554712&database=RX&origin=ReaxysOutput&ln=,(1 of 327),10,96,full reaction; has preparation,5-bromopyrimidine; formic acid ethyl ester,pyrimidine-5-carbaldehyde,46949,BrC1=CN=CN=C1.CCOC=O>>O=CC1=CN=CN=C1,Preparation,87.A,Pyrimidine-5-carboxaldehyde,"EXAMPLE 87A Pyrimidine-5-carboxaldehyde A modified procedure of Rho and Abuh (Syn. Commun. 1994, 24, 253-256) was followed for the preparation of the titled aldehyde. Under nitrogen, to a solution of 5-bromopyrimidine (1 g, 6.3 mmol) in 60 mL anhydrous THF, was added BuLi (2.5 M, 2.6 mL, 6.5 mmol) at -78 C. The resulting yellow solution was stirred for 20 min, after which ethyl formate (0.55 mL, 6.7 mmol) was added dropwise over 5 min. After 20 min, the reaction was quenched with 1.5 M THF/HCl solution (4.5 mL, 6.7 mmol). The cold bath was removed, and the reaction mixture was stirred for 1 h. THF was removed in vacco, 10 mL of water was then added. The mixture was extracted with CHCl3 (2*10 mL), and the combined organics were dried (MgSO4) and concentrated. The crude product was purified via flash column chromatography (5% MeOH/CHCl3) to give 0.35 g (51%) of the titled pyrimidine-5-carboxaldehydepyrimidine-5-carboxaldehyde.",1,,,3,,0.333333; 0.416667; 1,-78,,,,,,,,,Page/Page column 42,,pyrimidine-5-carbaldehyde,51 percent,51,,5-bromopyrimidine; formic acid ethyl ester,n-butyllithium; hydrogenchloride,,tetrahydrofuran; tetrahydrofuran; tetrahydrofuran,"Patent; Kosogof, Christi; Liu, Bo; Liu, Gang; Liu, Mei; Nelson, Lissa T.J.; Serby, Michael D.; Sham, Hing L.; Szczepankiewicz, Bruce G.; Xin, Zhili; Zhao, Hongyu; US2005/70712; (2005); A1;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=8820924&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
1554712,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=1554712&database=RX&origin=ReaxysOutput&ln=,(1 of 327),10,96,full reaction; has preparation,5-bromopyrimidine; formic acid ethyl ester,pyrimidine-5-carbaldehyde,46949,BrC1=CN=CN=C1.CCOC=O>>O=CC1=CN=CN=C1,Preparation,81A,Pyrimidine-5-carboxaldehyde:,"A modified procedure of Rho and Abuh (Syn. Commun. 1994, 24, 253-256) was followed for the preparation of the titled aldehyde. Under nitrogen, to a solution of 5-bromopyrimidine (1 g, 6.3 mmol) in 60 mL anhydrous THF, was added BuLi (2.5 M, 2.6 mL, 6.5 mmol) at -78 C. The resulting yellow solution was stirred for 20 min, after which ethyl formate (0.55 mL, 6.7 mmol) was added dropwise over 5 min. After 20 min, the reaction was quenched with 1.5 M THF/HCl solution (4.5 mL, 6.7 mmol). The cold bathwas removed, and the reaction mixture was stirred for 1 h. THF was removed in vacco, 10 mL of water was then added. The mixture was extracted with CHCl3 (2*10 mL), and the combined organics were dried (MgSO4) and concentrated. The crude product was purified via flash column chromatography (5% MeOH/CHCl3) to give 0.35 g (51%) of the titled pyrimidine-5-carboxaldehydepyrimidine-5-carboxaldehyde.",1,,,2,,0.333333; 0.0833333,-78,,,,,,,,,Page/Page column 41,,pyrimidine-5-carbaldehyde,51 percent,51,,5-bromopyrimidine; formic acid ethyl ester,n-butyllithium,,tetrahydrofuran,"Patent; Kosogof, Christi; Liu, Bo; Liu, Gang; Liu, Mei; Nelson, Lissa T. J.; Serby, Michael D.; Sham, Hing L.; Szczepankiewicz, Bruce G.; Xin, Zhili; Zhao, Hongyu; US2005/171131; (2005); A1;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=8821888&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
1554712,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=1554712&database=RX&origin=ReaxysOutput&ln=,(1 of 327),10,96,full reaction; has preparation,5-bromopyrimidine; formic acid ethyl ester,pyrimidine-5-carbaldehyde,46949,BrC1=CN=CN=C1.CCOC=O>>O=CC1=CN=CN=C1,Preparation,15.1,1) Preparation of pyrimidine-5-carbaldehyde,"1) Preparation of pyrimidine-5-carbaldehyde A solution of 5-bromo-pyrimidine (5 g, 31.4 mmol, 1.0 eq.) in anhydrous THF (300 mL) was placed under an argon atmosphere in a three-necked round bottom flask equipped with a low-temperature thermometer. The mixture was cooled to -100 C. in a EtOH/N2(l) bath. To the solution of 5-bromopyridine was added a solution of n-BuLi in hexane (20 mL, 1.6 M, 32.5 mmol, 1.0 eq.). The resulting mixture was stirred for 20 minutes at 100 C. and the organolithium that formed was trapped with a solution of ethyl formate (2.7 mL, 33.5 mmol, 1.1 eq.) in THF (10 mL). The reaction was stirred for another 20 minutes at 100 C. and quenched with a solution of hydrochloric acid in ether (17 mL, 2M, 34 mmol). Then, the cold bath was removed and the mixture stirred at room temperature for 1 hour. The solution was concentrated under reduced pressure, and then treated with water and saturated aqueous sodium carbonate (10 mL). The mixture was extracted with dichloromethane and the organic layer was dried over MgSO4. The solvent was removed under reduced pressure and the residue purified by silica gel flash-column chromatography (eluent: CH2Cl2/AcOEt, 60:40 to 50:50) to afford pyrimidine-5-carbaldehyde as beige crystals (1.2 g, 35%).",1,,,2,,0.333333; 0.333333,-100 - 100; 100,,,Inert atmosphere,,,,,,Page/Page column 42,,pyrimidine-5-carbaldehyde,35 percent,35,,5-bromopyrimidine; formic acid ethyl ester,3-Bromopyridine; n-butyllithium,,tetrahydrofuran; ethanol; hexane; tetrahydrofuran; ethanol; hexane,"Patent; COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES; CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE; Guillou, Catherine; Kozielski, Frank; Labriere, Christophe; Gueritte, Francoise; Tcherniuk, Sergey; Skoufias, Dimitrios; Thal, Claude; Husson, Henri-Philippe; US9212138; (2015); B2;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=67833191&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
1554712,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=1554712&database=RX&origin=ReaxysOutput&ln=,(1 of 327),10,96,full reaction; has preparation,5-bromopyrimidine; formic acid ethyl ester,pyrimidine-5-carbaldehyde,46949,BrC1=CN=CN=C1.CCOC=O>>O=CC1=CN=CN=C1,Preparation,,,,1,,,2,,0.333333; 0.333333,-100; -100 - -95,,,Inert atmosphere; Inert atmosphere,,,,,Experimental part,supporting information,,pyrimidine-5-carbaldehyde,19 percent,19,,5-bromopyrimidine; formic acid ethyl ester,n-butyllithium,,tetrahydrofuran; hexane; tetrahydrofuran; hexane,"Article; Giroud, Maude; Ivkovic, Jakov; Martignoni, Mara; Fleuti, Marianne; Trapp, Nils; Haap, Wolfgang; Kuglstatter, Andreas; Benz, Joerg; Kuhn, Bernd; Schirmeister, Tanja; Diederich, Francois; ChemMedChem; vol. 12; 3; (2017); p. 257 - 270;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=70586329&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
1554712,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=1554712&database=RX&origin=ReaxysOutput&ln=,(1 of 327),10,96,full reaction; has preparation,5-bromopyrimidine; formic acid ethyl ester,pyrimidine-5-carbaldehyde,46949,BrC1=CN=CN=C1.CCOC=O>>O=CC1=CN=CN=C1,Preparation,,,,1,,,,,,,,,"1.) hexane, -100 deg C, 20 min, 2.) hexane, from -100 deg C to -80 deg C",,,,,,,Yield given. Multistep reaction,,,,,,hydrogenchloride; n-butyllithium,,,Article; Rho; Abuh; Synthetic Communications; vol. 24; 2; (1994); p. 253 - 256;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=5896214&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
1554712,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=1554712&database=RX&origin=ReaxysOutput&ln=,(1 of 327),10,96,full reaction; has preparation,5-bromopyrimidine; formic acid ethyl ester,pyrimidine-5-carbaldehyde,46949,BrC1=CN=CN=C1.CCOC=O>>O=CC1=CN=CN=C1,Preparation,13.2,Step 2. Pynmidine-5-carboxaldehyde.,"To a solution of 5-bromopyrimidine (2 g, 1 2,58 mmol, 1 .00 equiv) in THF (20 mL) placed in a 50-mL 3-necked round-bottom flask purged and maintained with an inert atmosphere of nitrogen was added n-butyllithium ( 1 . 1 mL) at -78 C. The reaction mixture was stirred at -78 ""C for another 2 h . Ethyl formate (5.2 mL) was then added and the resulting solution was stirred for 2 h at -78 C. The resulting mixture was warmed to 0  C and washed with 50 mL of brine. The organ ic layer was dried with anhydrous sodium carbonate and concentrated The residue was purified on a silica gel column eluted with ethyl acetate/petroleum ether ( 1 1 ) to give 1 1 g of crude pyrimidine-5-carboxaldehyde as a yellow oil . TLC : ethyl acetate/petroleum ether ( 1 / 1 ), Rf= 0.2.",1,,,2,,2; 2,-78; -78 - 0,,,Inert atmosphere; Inert atmosphere,,,,,,Page/Page column 144,,,,,,5-bromopyrimidine; formic acid ethyl ester,n-butyllithium,,tetrahydrofuran; tetrahydrofuran,"Patent; GENENTECH, INC.; FORMA TM, LLC; BAIR, Kenneth W.; BAUMEISTER, Timm R.; BUCKMELTER, Alexandre J.; CLODFELTER, Karl H.; DRAGOVICH, Peter; GOSSELIN, Francis; GUNZNER-TOSTE, Janet; HAN, Bingsong; LIN, Jian; LIU, Xiongcai; REYNOLDS, Dominic J.; SMITH, Chase C.; WANG, Zhongguo; ZAK, Mark; ZHANG, Yamin; ZHAO, Guiling; ZHENG, Xiaozhang; YUEN, Po-Wai; WO2013/127266; (2013); A1;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=48727359&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
