Reaction ID,Reaction: Links to Reaxys,Data Count,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details),References,Links to Reaxys
31620136,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=31620136&database=RX&origin=ReaxysOutput&ln=,(1 of 307),10,101,full reaction; has preparation; has multi-step,Cellobiose,D-sorbitol,127026,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,Preparation,,,,1,,,,,10,150,15001.5,,Autoclave,,,Reagent/catalyst; Temperature,,Experimental part,,,D-sorbitol,95.1 percent,95.1,,,hydrogen,,water,"Article; Chen, Jinzhu; Wang, Shengpei; Huang, Jing; Chen, Limin; Ma, Longlong; Huang, Xing; ChemSusChem; vol. 6; 8; (2013); p. 1545 - 1555;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=48770818&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
31620136,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=31620136&database=RX&origin=ReaxysOutput&ln=,(1 of 307),10,101,full reaction; has preparation; has multi-step,Cellobiose,D-sorbitol,127026,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,Preparation,,,,1,,,,,5,180,37503.8,,Autoclave,,,,,Scheme or table,,,D-sorbitol,91.1 percent,91.1,,,water; hydrogen,,,"Article; Yin, Wang; Tang, Zhenchen; Venderbosch, Robertus Hendrikus; Zhang, Zheng; Cannilla, Catia; Bonura, Giuseppe; Frusteri, Francesco; Heeres, Hero Jan; ACS Catalysis; vol. 6; 7; (2016); p. 4411 - 4422;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=69198487&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
31620136,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=31620136&database=RX&origin=ReaxysOutput&ln=,(1 of 307),10,101,full reaction; has preparation; has multi-step,Cellobiose,D-sorbitol,127026,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,Preparation,,2.3 Conversion of glucose and cellobiose,"General procedure: The catalyzed conversions of glucose and cellobiose werecarried out in 25 mL Parr reactor equipped with a manganicstirrer. In a typical experiment, a solution containing substrate(1 M glucose or 0.5 M cellobiose), 100 mg catalyst and12 mL deionised water was injected into the reactor. Thereactor was flushed five times with H2 to remove air andmaintained at specifies hydrogen pressure (1-6 MPa). Thesealed reactor was heated to desired temperature with aheating rate of 10 C/min at 1000 r/min. The reaction temperaturewas maintained at a certain value, i.e. in a range of100 to 200 C for 1-6 h. After the reaction, the reactor wascooled to room temperature and the product mixture wascollected and analyzed by HPLC.",1,,,,,5,180,37503.8,,High pressure,,,Reagent/catalyst,,Experimental part,,,D-sorbitol,86 percent,86,,,water; hydrogen,,,"Article; Zada, Bakht; Yan, Long; Fu, Yao; Science China Chemistry; vol. 61; 9; (2018); p. 1167 - 1174;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=74625476&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
31620136,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=31620136&database=RX&origin=ReaxysOutput&ln=,(1 of 307),10,101,full reaction; has preparation; has multi-step,Cellobiose,D-sorbitol,127026,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,Preparation,,,,1,,,,,6,139.84,15001.5,,Autoclave,,,,,,supporting information; experimental part,,D-sorbitol,94 percentChromat.,,,,hydrogen,,water,"Article; Liu, Mi; Deng, Weiping; Zhang, Qinghong; Wang, Yanliang; Wang, Ye; Chemical Communications; vol. 47; 34; (2011); p. 9717 - 9719;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=20013589&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
31620136,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=31620136&database=RX&origin=ReaxysOutput&ln=,(1 of 307),10,101,full reaction; has preparation; has multi-step,Cellobiose,D-sorbitol,127026,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,Multi-step reaction,,,,2,Reaction-ID:31620136-Steps:41231599;31862750,1: ortho-tungstic acid; 1% Pd/C; hydrogen / water / 0.17 h / 179.84 C / 45004.5 Torr / Autoclave; 2: ortho-tungstic acid; 1% Pd/C; hydrogen / water / 2 h / 119.84 C / 45004.5 Torr / Autoclave,,,,,,,,,,,,,,,,,,,,1% Pd/C; hydrogen; ortho-tungstic acid,,water,"Article; Zhang, Junying; Yang, Xiaofeng; Hou, Baolin; Wang, Aiqin; Li, Zhenlei; Wang, Hua; Zhang, Tao; Cuihua Xuebao/Chinese Journal of Catalysis; vol. 35; 11; (2014); p. 1811 - 1817;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=67098863&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
31620136,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=31620136&database=RX&origin=ReaxysOutput&ln=,(1 of 307),10,101,full reaction; has preparation; has multi-step,Cellobiose,D-sorbitol,127026,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,Multi-step reaction,,,,2,Reaction-ID:31620136-Steps:41231599;40939829,1: ortho-tungstic acid; 1% Pd/C; hydrogen / water / 0.17 h / 179.84 C / 45004.5 Torr / Autoclave; 2: ortho-tungstic acid; 1% Pd/C; hydrogen / water / 6 h / 159.84 C / 45004.5 Torr / Autoclave,,,,,,,,,,,,,,,,,,,,1% Pd/C; hydrogen; ortho-tungstic acid,,water,"Article; Zhang, Junying; Yang, Xiaofeng; Hou, Baolin; Wang, Aiqin; Li, Zhenlei; Wang, Hua; Zhang, Tao; Cuihua Xuebao/Chinese Journal of Catalysis; vol. 35; 11; (2014); p. 1811 - 1817;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=67098863&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
31620136,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=31620136&database=RX&origin=ReaxysOutput&ln=,(1 of 307),10,101,full reaction; has preparation; has multi-step,Cellobiose,D-sorbitol,127026,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,Multi-step reaction,,,,2,Reaction-ID:31620136-Steps:41231598;40939830,1: ortho-tungstic acid; 1% Pd/C; hydrogen / water / 1 h / 159.84 C / 45004.5 Torr / Autoclave; 2: ortho-tungstic acid; 1% Pd/C; hydrogen / water / 0.17 h / 179.84 C / 45004.5 Torr / Autoclave,,,,,,,,,,,,,,,,,,,,1% Pd/C; hydrogen; ortho-tungstic acid,,water,"Article; Zhang, Junying; Yang, Xiaofeng; Hou, Baolin; Wang, Aiqin; Li, Zhenlei; Wang, Hua; Zhang, Tao; Cuihua Xuebao/Chinese Journal of Catalysis; vol. 35; 11; (2014); p. 1811 - 1817;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=67098863&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
31620136,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=31620136&database=RX&origin=ReaxysOutput&ln=,(1 of 307),10,101,full reaction; has preparation; has multi-step,Cellobiose,D-sorbitol,127026,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,Multi-step reaction,,,,2,Reaction-ID:31620136-Steps:41231598;31862750,1: ortho-tungstic acid; 1% Pd/C; hydrogen / water / 1 h / 159.84 C / 45004.5 Torr / Autoclave; 2: ortho-tungstic acid; 1% Pd/C; hydrogen / water / 2 h / 119.84 C / 45004.5 Torr / Autoclave,,,,,,,,,,,,,,,,,,,,1% Pd/C; hydrogen; ortho-tungstic acid,,water,"Article; Zhang, Junying; Yang, Xiaofeng; Hou, Baolin; Wang, Aiqin; Li, Zhenlei; Wang, Hua; Zhang, Tao; Cuihua Xuebao/Chinese Journal of Catalysis; vol. 35; 11; (2014); p. 1811 - 1817;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=67098863&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
31620136,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=31620136&database=RX&origin=ReaxysOutput&ln=,(1 of 307),10,101,full reaction; has preparation; has multi-step,Cellobiose,D-sorbitol,127026,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,Multi-step reaction,,,,2,Reaction-ID:31620136-Steps:41231598;40939829,1: ortho-tungstic acid; 1% Pd/C; hydrogen / water / 1 h / 159.84 C / 45004.5 Torr / Autoclave; 2: ortho-tungstic acid; 1% Pd/C; hydrogen / water / 6 h / 159.84 C / 45004.5 Torr / Autoclave,,,,,,,,,,,,,,,,,,,,1% Pd/C; hydrogen; ortho-tungstic acid,,water,"Article; Zhang, Junying; Yang, Xiaofeng; Hou, Baolin; Wang, Aiqin; Li, Zhenlei; Wang, Hua; Zhang, Tao; Cuihua Xuebao/Chinese Journal of Catalysis; vol. 35; 11; (2014); p. 1811 - 1817;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=67098863&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
31620136,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=31620136&database=RX&origin=ReaxysOutput&ln=,(1 of 307),10,101,full reaction; has preparation; has multi-step,Cellobiose,D-sorbitol,127026,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,Preparation,,,,1,,,,,0.333333,230,45004.5,,Autoclave,,,,,Scheme or table,,,,,,,,phosphotungstic acid; ruthenium-carbon composite; hydrogen,,water,"Article; Zhang, Kai; Wu, Shubin; Yang, He; Yin, Huimin; Li, Gang; RSC Advances; vol. 6; 81; (2016); p. 77499 - 77506;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=74068727&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
